ID,Fato Histórico,Verdadeiro?,Curiosidade
2561,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2562,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2563,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2564,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2565,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2566,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2567,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2568,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2569,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2570,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2571,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2572,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2573,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2574,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2575,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2576,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2577,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2578,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2579,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2580,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2581,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2582,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2583,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2584,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2585,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2586,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2587,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2588,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2589,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2590,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2591,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2592,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2593,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2594,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2595,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2596,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2597,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2598,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2599,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2600,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2601,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2602,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2603,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2604,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2605,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2606,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2607,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2608,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2609,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2610,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2611,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2612,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2613,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2614,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2615,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2616,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2617,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2618,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2619,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2620,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2621,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2622,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2623,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2624,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2625,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2626,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2627,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2628,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2629,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2630,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2631,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2632,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2633,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2634,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2635,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2636,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2637,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2638,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2639,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2640,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2641,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2642,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2643,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2644,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2645,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2646,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2647,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2648,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2649,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2650,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2651,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2652,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2653,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2654,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2655,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2656,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2657,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2658,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2659,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2660,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2661,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2662,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2663,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2664,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2665,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2666,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2667,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2668,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2669,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2670,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2671,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2672,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2673,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2674,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2675,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2676,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2677,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2678,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2679,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2680,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2681,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2682,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2683,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2684,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2685,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2686,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2687,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2688,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2689,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2690,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2691,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2692,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2693,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2694,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2695,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2696,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2697,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2698,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2699,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2700,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2701,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2702,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2703,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2704,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2705,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2706,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2707,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2708,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2709,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2710,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2711,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2712,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2713,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2714,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2715,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2716,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2717,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2718,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2719,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2720,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2721,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2722,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2723,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2724,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2725,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2726,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2727,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2728,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2729,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2730,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2731,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2732,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2733,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2734,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2735,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2736,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2737,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2738,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2739,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2740,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2741,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2742,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2743,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2744,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2745,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2746,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2747,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2748,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2749,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2750,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2751,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2752,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2753,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2754,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2755,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2756,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2757,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2758,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2759,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2760,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2761,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2762,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2763,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2764,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2765,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2766,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2767,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2768,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2769,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2770,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2771,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2772,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2773,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2774,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2775,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2776,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2777,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2778,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2779,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2780,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2781,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2782,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2783,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2784,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2785,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2786,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2787,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2788,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2789,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2790,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2791,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2792,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2793,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2794,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2795,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2796,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2797,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2798,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2799,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2800,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2801,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2802,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2803,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2804,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2805,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2806,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2807,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2808,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2809,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2810,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2811,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2812,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2813,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2814,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
2815,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2816,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
2817,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2818,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2819,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2820,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2821,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2822,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2823,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2824,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2825,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
2826,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2827,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2828,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2829,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2830,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2831,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2832,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
2833,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2834,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2835,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2836,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2837,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
2838,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2839,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
2840,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2841,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
2842,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
2843,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
2844,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
2845,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
2846,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2847,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2848,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
2849,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
2850,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
2851,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2852,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
2853,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
2854,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
